"participant";"trial";"practice";"speed";"delta_var";"action";"completion_time";"edgeA_speed";"edgeA_var";"edgeB_original_speed";"edgeB_speed";"edgeB_var";"delta_speed"
"11";"0";"true";"5.358";"small";"increase";"11.016";"5.358";"#00caff";"1.5510000000000002";"4.7658000000000005";"#e0b500";"3.2148000000000003"
"11";"1";"true";"19.345200000000002";"medium";"decrease";"6.252";"19.345200000000002";"#00caff";"36.755880000000005";"30.468689999999995";"#ff00be";"6.287189999999999"
"11";"2";"true";"36.755880000000005";"high";"decrease";"16.022";"36.755880000000005";"#00caff";"69.936";"29.504531999999998";"#00e6b6";"40.431468"
"11";"3";"true";"19.345200000000002";"same";"increase";"6.286";"19.345200000000002";"#00caff";"10.1802";"16.46739";"#00caff";"6.287190000000002"
"11";"4";"false";"19.345200000000002";"small";"decrease";"6.467";"19.345200000000002";"#00caff";"36.755880000000005";"26.59965";"#e0b500";"10.156229999999999"
"11";"5";"false";"19.345200000000002";"small";"increase";"9.024";"19.345200000000002";"#00caff";"10.1802";"21.787320000000005";"#e0b500";"11.607120000000004"
"11";"6";"false";"19.345200000000002";"high";"increase";"6.219";"19.345200000000002";"#00caff";"10.1802";"15.983760000000002";"#00e6b6";"5.803560000000001"
"11";"7";"false";"19.345200000000002";"high";"decrease";"9.991";"19.345200000000002";"#00caff";"36.755880000000005";"23.21424";"#00e6b6";"13.541640000000005"
"11";"8";"false";"36.755880000000005";"small";"decrease";"5.686";"36.755880000000005";"#00caff";"69.936";"39.612399";"#e0b500";"30.323601000000004"
"11";"9";"false";"36.755880000000005";"small";"increase";"7.208";"36.755880000000005";"#00caff";"19.345200000000002";"34.047552";"#e0b500";"14.702352000000003"
"11";"10";"false";"5.358";"small";"increase";"10.986";"5.358";"#00caff";"1.5510000000000002";"6.1053";"#e0b500";"4.5543"
"11";"11";"false";"5.358";"small";"decrease";"8.034";"5.358";"#00caff";"10.1802";"7.233300000000001";"#e0b500";"2.9469"
"11";"12";"false";"36.755880000000005";"high";"decrease";"14.81";"36.755880000000005";"#00caff";"69.936";"28.585634999999996";"#00e6b6";"41.350365000000004"
"11";"13";"false";"36.755880000000005";"high";"increase";"9.457";"36.755880000000005";"#00caff";"19.345200000000002";"30.371964000000002";"#00e6b6";"11.026764000000004"
"11";"14";"false";"19.345200000000002";"same";"increase";"6.404";"19.345200000000002";"#00caff";"10.1802";"18.885540000000002";"#00caff";"8.705340000000001"
"11";"15";"false";"19.345200000000002";"same";"decrease";"9.028";"19.345200000000002";"#00caff";"36.755880000000005";"29.985060000000004";"#00caff";"6.77082"
"11";"16";"false";"5.358";"small";"decrease";"8.124";"5.358";"#00caff";"10.1802";"7.09935";"#e0b500";"3.0808499999999994"
"11";"17";"false";"5.358";"small";"increase";"13.865";"5.358";"#00caff";"1.5510000000000002";"4.7658000000000005";"#e0b500";"3.2148000000000003"
"11";"18";"false";"5.358";"same";"increase";"10.88";"5.358";"#00caff";"1.5510000000000002";"3.2923500000000003";"#00caff";"1.74135"
"11";"19";"false";"5.358";"same";"decrease";"5.974";"5.358";"#00caff";"10.1802";"11.385749999999998";"#00caff";"1.2055499999999995"
"11";"20";"false";"36.755880000000005";"medium";"decrease";"18.235";"36.755880000000005";"#00caff";"69.936";"37.774604999999994";"#ff00be";"32.161395000000006"
"11";"21";"false";"36.755880000000005";"medium";"increase";"6.583";"36.755880000000005";"#00caff";"19.345200000000002";"36.804243";"#ff00be";"17.459042999999998"
"11";"22";"false";"19.345200000000002";"small";"increase";"7.679";"19.345200000000002";"#00caff";"10.1802";"21.787320000000005";"#e0b500";"11.607120000000004"
"11";"23";"false";"19.345200000000002";"small";"decrease";"8.348";"19.345200000000002";"#00caff";"36.755880000000005";"27.566910000000004";"#e0b500";"9.18897"
"11";"24";"false";"36.755880000000005";"high";"decrease";"6.644";"36.755880000000005";"#00caff";"69.936";"45.125781";"#00e6b6";"24.810219000000004"
"11";"25";"false";"36.755880000000005";"high";"increase";"11.271";"36.755880000000005";"#00caff";"19.345200000000002";"35.885346";"#00e6b6";"16.540146"
"11";"26";"false";"5.358";"medium";"increase";"8.48";"5.358";"#00caff";"1.5510000000000002";"4.23";"#ff00be";"2.679"
"11";"27";"false";"5.358";"medium";"decrease";"11.068";"5.358";"#00caff";"10.1802";"7.635150000000001";"#ff00be";"2.54505"
"11";"28";"false";"5.358";"high";"decrease";"7.483";"5.358";"#00caff";"10.1802";"7.367249999999999";"#00e6b6";"2.8129500000000003"
"11";"29";"false";"5.358";"high";"increase";"6.472";"5.358";"#00caff";"1.5510000000000002";"4.23";"#00e6b6";"2.679"
"11";"30";"false";"5.358";"same";"increase";"9.376";"5.358";"#00caff";"1.5510000000000002";"4.36395";"#00caff";"2.8129500000000003"
"11";"31";"false";"5.358";"same";"decrease";"22.502";"5.358";"#00caff";"10.1802";"7.233300000000001";"#00caff";"2.9469"
"11";"32";"false";"36.755880000000005";"small";"decrease";"13.158";"36.755880000000005";"#00caff";"69.936";"39.612399";"#e0b500";"30.323601000000004"
"11";"33";"false";"36.755880000000005";"small";"increase";"8.685";"36.755880000000005";"#00caff";"19.345200000000002";"30.371964000000002";"#e0b500";"11.026764000000004"
"11";"34";"false";"5.358";"medium";"increase";"10.985";"5.358";"#00caff";"1.5510000000000002";"5.70345";"#ff00be";"4.152449999999999"
"11";"35";"false";"5.358";"medium";"decrease";"8.261";"5.358";"#00caff";"10.1802";"7.367249999999999";"#ff00be";"2.8129500000000003"
"11";"36";"false";"19.345200000000002";"medium";"decrease";"8.193";"19.345200000000002";"#00caff";"36.755880000000005";"22.730610000000002";"#ff00be";"14.025269999999999"
"11";"37";"false";"19.345200000000002";"medium";"increase";"8.63";"19.345200000000002";"#00caff";"10.1802";"17.918280000000003";"#ff00be";"7.738080000000001"
"11";"38";"false";"19.345200000000002";"medium";"increase";"8.395";"19.345200000000002";"#00caff";"10.1802";"17.918280000000003";"#ff00be";"7.738080000000001"
"11";"39";"false";"19.345200000000002";"medium";"decrease";"8.383";"19.345200000000002";"#00caff";"36.755880000000005";"26.116020000000002";"#ff00be";"10.639859999999999"
"11";"40";"false";"36.755880000000005";"same";"decrease";"11.778";"36.755880000000005";"#00caff";"69.936";"40.531296000000005";"#00caff";"29.404704000000006"
"11";"41";"false";"36.755880000000005";"same";"increase";"14.428";"36.755880000000005";"#00caff";"19.345200000000002";"26.696376000000004";"#00caff";"7.3511760000000015"
