participant,trial,practice,speed,delta_var,action,completion_time,edgeA_speed,edgeA_var,edgeB_original_speed,edgeB_speed,edgeB_var,delta_speed
14,0,true,5.358,small,increase,44.707,5.358,4,1.5510000000000002,3.82815,6.5,2.2771499999999993
14,1,true,19.345200000000002,medium,decrease,43.675,19.345200000000002,4,36.755880000000005,22.730610000000002,11,14.025269999999999
14,2,true,36.755880000000005,high,decrease,42.803,36.755880000000005,4,69.936,27.666738,17,42.269262
14,3,true,19.345200000000002,same,increase,57.869,19.345200000000002,4,10.1802,16.95102,4,6.770820000000001
14,4,false,19.345200000000002,same,decrease,26.251,19.345200000000002,4,36.755880000000005,25.148759999999996,4,11.607120000000004
14,5,false,19.345200000000002,same,increase,31.746,19.345200000000002,4,10.1802,16.95102,4,6.770820000000001
14,6,false,36.755880000000005,medium,increase,20.617,36.755880000000005,4,19.345200000000002,30.371964000000002,11,11.026764000000004
14,7,false,36.755880000000005,medium,decrease,24.31,36.755880000000005,4,69.936,34.099016999999996,11,35.836983000000004
14,8,false,36.755880000000005,same,decrease,28.289,36.755880000000005,4,69.936,35.017914000000005,4,34.918086
14,9,false,36.755880000000005,same,increase,35.754,36.755880000000005,4,19.345200000000002,31.290861,4,11.945661000000003
14,10,false,19.345200000000002,high,increase,15.996,19.345200000000002,4,10.1802,19.36917,17,9.188970000000001
14,11,false,19.345200000000002,high,decrease,34.207,19.345200000000002,4,36.755880000000005,22.246980000000004,17,14.508900000000004
14,12,false,5.358,high,decrease,30.127,5.358,4,10.1802,4.68825,17,5.49195
14,13,false,5.358,high,increase,18.099,5.358,4,1.5510000000000002,3.9621,17,2.4111
14,14,false,19.345200000000002,small,increase,22.788,19.345200000000002,4,10.1802,15.500129999999999,6.5,5.319930000000002
14,15,false,19.345200000000002,small,decrease,38.861,19.345200000000002,4,36.755880000000005,21.27972,6.5,15.476160000000002
14,16,false,19.345200000000002,high,decrease,26.181,19.345200000000002,4,36.755880000000005,25.632390000000004,17,11.123489999999999
14,17,false,19.345200000000002,high,increase,11.144,19.345200000000002,4,10.1802,14.53287,17,4.352670000000001
14,18,false,36.755880000000005,small,increase,11.273,36.755880000000005,4,19.345200000000002,31.290861,6.5,11.945661000000003
14,19,false,36.755880000000005,small,decrease,21.281,36.755880000000005,4,69.936,32.261222999999994,6.5,37.674777000000006
14,20,false,5.358,small,decrease,19.293,5.358,4,10.1802,7.367249999999999,6.5,2.8129500000000003
14,21,false,5.358,small,increase,27.091,5.358,4,1.5510000000000002,7.042949999999999,6.5,5.49195
14,22,false,36.755880000000005,high,increase,9.584,36.755880000000005,4,19.345200000000002,40.479831,17,21.134631
14,23,false,36.755880000000005,high,decrease,23.754,36.755880000000005,4,69.936,34.099016999999996,17,35.836983000000004
14,24,false,19.345200000000002,same,decrease,16.755,19.345200000000002,4,36.755880000000005,30.952320000000004,4,5.80356
14,25,false,19.345200000000002,same,increase,16.026,19.345200000000002,4,10.1802,11.631089999999999,4,1.4508900000000011
14,26,false,5.358,small,increase,16.924,5.358,4,1.5510000000000002,8.114550000000001,6.5,6.563550000000001
14,27,false,5.358,small,decrease,24.303,5.358,4,10.1802,5.22405,6.5,4.95615
14,28,false,5.358,same,decrease,23.017,5.358,4,10.1802,5.759849999999999,4,4.420350000000001
14,29,false,5.358,same,increase,8.636,5.358,4,1.5510000000000002,3.9621,4,2.4111
14,30,false,36.755880000000005,medium,increase,8.831,36.755880000000005,4,19.345200000000002,30.371964000000002,11,11.026764000000004
14,31,false,36.755880000000005,medium,decrease,22.206,36.755880000000005,4,69.936,39.612399,11,30.323601000000004
14,32,false,19.345200000000002,small,decrease,23.279,19.345200000000002,4,36.755880000000005,22.246980000000004,6.5,14.508900000000004
14,33,false,19.345200000000002,small,increase,10.288,19.345200000000002,4,10.1802,19.36917,6.5,9.188970000000001
14,34,false,36.755880000000005,high,increase,13.122,36.755880000000005,4,19.345200000000002,32.209758,17,12.864557999999999
14,35,false,36.755880000000005,high,decrease,27.903,36.755880000000005,4,69.936,32.261222999999994,17,37.674777000000006
14,36,false,5.358,medium,decrease,9.218,5.358,4,10.1802,7.5012,11,2.6789999999999994
14,37,false,5.358,medium,increase,15.216,5.358,4,1.5510000000000002,5.167650000000001,11,3.6166500000000004
14,38,false,5.358,high,increase,16.794,5.358,4,1.5510000000000002,6.239250000000001,17,4.68825
14,39,false,5.358,high,decrease,13.1,5.358,4,10.1802,5.22405,17,4.95615
14,40,false,5.358,same,decrease,10.876,5.358,4,10.1802,4.42035,4,5.759849999999999
14,41,false,5.358,same,increase,13.832,5.358,4,1.5510000000000002,4.63185,4,3.08085
14,42,false,36.755880000000005,small,increase,16.098,36.755880000000005,4,19.345200000000002,31.290861,6.5,11.945661000000003
14,43,false,36.755880000000005,small,decrease,14.3,36.755880000000005,4,69.936,56.152545,6.5,13.783455000000002
14,44,false,5.358,medium,decrease,11.109,5.358,4,10.1802,7.769100000000001,11,2.4111
14,45,false,5.358,medium,increase,20.778,5.358,4,1.5510000000000002,6.239250000000001,11,4.68825
