"participant";"trial";"practice";"speed";"delta_var";"action";"completion_time";"edgeA_speed";"edgeA_var";"edgeB_original_speed";"edgeB_speed";"edgeB_var";"delta_speed"
"2";"0";"true";"5.358";"small";"increase";"30.383";"5.358";"4";"1.5510000000000002";"5.435549999999999";"6.5";"3.8845500000000004"
"2";"1";"true";"19.345200000000002";"medium";"decrease";"10.353";"19.345200000000002";"4";"36.755880000000005";"20.79609";"11";"15.95979"
"2";"2";"true";"36.755880000000005";"high";"decrease";"8.058";"36.755880000000005";"4";"69.936";"50.639162999999996";"17";"19.296837000000004"
"2";"3";"true";"19.345200000000002";"same";"increase";"14.379";"19.345200000000002";"4";"10.1802";"22.270950000000003";"4";"12.090750000000005"
"2";"4";"false";"19.345200000000002";"same";"decrease";"9.231";"19.345200000000002";"4";"36.755880000000005";"25.632390000000004";"4";"11.123489999999999"
"2";"5";"false";"19.345200000000002";"same";"increase";"13.539";"19.345200000000002";"4";"10.1802";"22.75458";"4";"12.574380000000003"
"2";"6";"false";"36.755880000000005";"medium";"increase";"10.735";"36.755880000000005";"4";"19.345200000000002";"41.398728";"11";"22.053528000000007"
"2";"7";"false";"36.755880000000005";"medium";"decrease";"6.707";"36.755880000000005";"4";"69.936";"60.747029999999995";"11";"9.188970000000005"
"2";"8";"false";"36.755880000000005";"same";"decrease";"11.349";"36.755880000000005";"4";"69.936";"46.96357500000001";"4";"22.972424999999994"
"2";"9";"false";"36.755880000000005";"same";"increase";"9.603";"36.755880000000005";"4";"19.345200000000002";"38.64203700000001";"4";"19.296837000000004"
"2";"10";"false";"19.345200000000002";"high";"increase";"12.911";"19.345200000000002";"4";"10.1802";"20.82006";"17";"10.63986"
"2";"11";"false";"19.345200000000002";"high";"decrease";"13.384";"19.345200000000002";"4";"36.755880000000005";"24.665130000000005";"17";"12.090749999999998"
"2";"12";"false";"5.358";"high";"decrease";"25.006";"5.358";"4";"10.1802";"8.036999999999999";"17";"2.1432000000000007"
"2";"13";"false";"5.358";"high";"increase";"26.886";"5.358";"4";"1.5510000000000002";"4.4979000000000005";"17";"2.9469"
"2";"14";"false";"19.345200000000002";"small";"increase";"7.165";"19.345200000000002";"4";"10.1802";"16.95102";"6.5";"6.770820000000001"
"2";"15";"false";"19.345200000000002";"small";"decrease";"12.408";"19.345200000000002";"4";"36.755880000000005";"29.01780000000001";"6.5";"7.73808"
"2";"16";"false";"19.345200000000002";"high";"decrease";"11.634";"19.345200000000002";"4";"36.755880000000005";"29.01780000000001";"17";"7.73808"
"2";"17";"false";"19.345200000000002";"high";"increase";"7.962";"19.345200000000002";"4";"10.1802";"19.36917";"17";"9.188970000000001"
"2";"18";"false";"36.755880000000005";"small";"increase";"11.108";"36.755880000000005";"4";"19.345200000000002";"38.64203700000001";"6.5";"19.296837000000004"
"2";"19";"false";"36.755880000000005";"small";"decrease";"17.532";"36.755880000000005";"4";"69.936";"49.720266";"6.5";"20.215734"
"2";"20";"false";"5.358";"small";"decrease";"13.672";"5.358";"4";"10.1802";"9.510449999999999";"6.5";"0.6697499999999995"
"2";"21";"false";"5.358";"small";"increase";"20.318";"5.358";"4";"1.5510000000000002";"3.82815";"6.5";"2.2771499999999993"
