participant,trial,practice,speed,delta_var,action,completion_time,edgeA_speed,edgeA_var,edgeB_original_speed,edgeB_speed,edgeB_var,delta_speed,visual_variable
6,0,true,5.358,small,increase,40.024,5.358,4,1.5510000000000002,4.89975,6.5,3.34875,height
6,1,true,19.345200000000002,medium,decrease,22.934,19.345200000000002,4,36.755880000000005,24.181499999999996,11,12.574380000000003,height
6,2,true,36.755880000000005,high,decrease,24.034,36.755880000000005,4,69.936,34.099016999999996,17,35.836983000000004,height
6,3,true,19.345200000000002,same,increase,11.207,19.345200000000002,4,10.1802,19.36917,4,9.188970000000001,height
6,4,false,19.345200000000002,high,decrease,20.29,19.345200000000002,4,36.755880000000005,19.345200000000002,17,17.410680000000003,height
6,5,false,19.345200000000002,high,increase,12.322,19.345200000000002,4,10.1802,21.787320000000005,17,11.607120000000004,height
6,6,false,36.755880000000005,small,increase,8.725,36.755880000000005,4,19.345200000000002,43.23652200000001,6.5,23.891322000000006,height
6,7,false,36.755880000000005,small,decrease,14.276,36.755880000000005,4,69.936,35.936811,6.5,33.99918900000001,height
6,8,false,5.358,small,decrease,28.3,5.358,4,10.1802,5.625899999999999,6.5,4.5543,height
6,9,false,5.358,small,increase,12.501,5.358,4,1.5510000000000002,5.70345,6.5,4.152449999999999,height
6,10,false,36.755880000000005,high,increase,10.59,36.755880000000005,4,19.345200000000002,44.155419,17,24.810219000000004,height
6,11,false,36.755880000000005,high,decrease,23.87,36.755880000000005,4,69.936,34.099016999999996,17,35.836983000000004,height
6,12,false,19.345200000000002,same,decrease,11.732,19.345200000000002,4,36.755880000000005,23.21424,4,13.541640000000005,height
6,13,false,19.345200000000002,same,increase,12.159,19.345200000000002,4,10.1802,19.852800000000002,4,9.672600000000001,height
6,14,false,5.358,small,increase,33.131,5.358,4,1.5510000000000002,5.435549999999999,6.5,3.8845500000000004,height
6,15,false,5.358,small,decrease,24.578,5.358,4,10.1802,5.8938,6.5,4.2864,height
6,16,false,5.358,same,decrease,24.713,5.358,4,10.1802,5.358,4,4.8222,height
6,17,false,5.358,same,increase,19.552,5.358,4,1.5510000000000002,5.70345,4,4.152449999999999,height
6,18,false,36.755880000000005,medium,increase,16.29,36.755880000000005,4,19.345200000000002,46.912110000000006,11,27.566910000000004,height
6,19,false,36.755880000000005,medium,decrease,14.475,36.755880000000005,4,69.936,37.774604999999994,11,32.161395000000006,height
6,20,false,19.345200000000002,small,decrease,9.836,19.345200000000002,4,36.755880000000005,22.730610000000002,6.5,14.025269999999999,height
6,21,false,19.345200000000002,small,increase,16.253,19.345200000000002,4,10.1802,16.95102,6.5,6.770820000000001,height
6,22,false,36.755880000000005,high,increase,27.811,36.755880000000005,4,19.345200000000002,49.668801,17,30.323601000000004,height
6,23,false,36.755880000000005,high,decrease,13.501,36.755880000000005,4,69.936,38.693501999999995,17,31.242498,height
6,24,false,5.358,medium,decrease,18.156,5.358,4,10.1802,4.956149999999999,11,5.22405,height
6,25,false,5.358,medium,increase,19.739,5.358,4,1.5510000000000002,6.1053,11,4.5543,height
6,26,false,5.358,high,increase,35.794,5.358,4,1.5510000000000002,5.70345,17,4.152449999999999,height
6,27,false,5.358,high,decrease,14.668,5.358,4,10.1802,6.161699999999999,17,4.0185,height
6,28,false,5.358,same,decrease,21.753,5.358,4,10.1802,4.68825,4,5.49195,height
