participant,trial,practice,speed,delta_var,action,completion_time,edgeA_speed,edgeA_var,edgeB_original_speed,edgeB_speed,edgeB_var,delta_speed,visual_variable
1,0,true,5.358,small,increase,53.071,5.358,#000000,1.5510000000000002,5.70345,#4e4e4e,4.152449999999999,lumi
1,1,true,19.345200000000002,medium,decrease,28.297,19.345200000000002,#000000,36.755880000000005,23.21424,#a2a2a2,13.541640000000005,lumi
1,2,true,36.755880000000005,high,decrease,19.933,36.755880000000005,#000000,69.936,33.18012,#ffffff,36.755880000000005,lumi
1,3,true,19.345200000000002,same,increase,23.587,19.345200000000002,#000000,10.1802,16.46739,#000000,6.287190000000002,lumi
1,4,false,36.755880000000005,medium,decrease,36.44,36.755880000000005,#000000,69.936,47.882472,#a2a2a2,22.05352800000001,lumi
1,5,false,36.755880000000005,medium,increase,35.447,36.755880000000005,#000000,19.345200000000002,47.831007,#a2a2a2,28.485807,lumi
1,6,false,36.755880000000005,same,increase,37.301,36.755880000000005,#000000,19.345200000000002,34.966449000000004,#000000,15.621249000000002,lumi
1,7,false,36.755880000000005,same,decrease,38.815,36.755880000000005,#000000,69.936,41.450193,#000000,28.485807,lumi
1,8,false,19.345200000000002,high,decrease,35.256,19.345200000000002,#000000,36.755880000000005,22.246980000000004,#ffffff,14.508900000000004,lumi
1,9,false,19.345200000000002,high,increase,27.904,19.345200000000002,#000000,10.1802,20.33643,#ffffff,10.15623,lumi
1,10,false,5.358,high,increase,45.87,5.358,#000000,1.5510000000000002,5.3016000000000005,#ffffff,3.7506,lumi
1,11,false,5.358,high,decrease,33.824,5.358,#000000,10.1802,6.9654,#ffffff,3.2148000000000003,lumi
1,12,false,19.345200000000002,small,decrease,40.697,19.345200000000002,#000000,36.755880000000005,23.69787,#4e4e4e,13.05801,lumi
1,13,false,19.345200000000002,small,increase,41.551,19.345200000000002,#000000,10.1802,19.36917,#4e4e4e,9.188970000000001,lumi
1,14,false,19.345200000000002,high,increase,33.064,19.345200000000002,#000000,10.1802,23.238210000000002,#ffffff,13.058010000000003,lumi
1,15,false,19.345200000000002,high,decrease,65.141,19.345200000000002,#000000,36.755880000000005,19.345200000000002,#ffffff,17.410680000000003,lumi
1,16,false,36.755880000000005,small,decrease,16.143,36.755880000000005,#000000,69.936,33.18012,#4e4e4e,36.755880000000005,lumi
1,17,false,36.755880000000005,small,increase,35.369,36.755880000000005,#000000,19.345200000000002,34.047552,#4e4e4e,14.702352000000003,lumi
1,18,false,5.358,small,increase,39.462,5.358,#000000,1.5510000000000002,4.63185,#4e4e4e,3.08085,lumi
1,19,false,5.358,small,decrease,23.242,5.358,#000000,10.1802,6.9654,#4e4e4e,3.2148000000000003,lumi
1,20,false,36.755880000000005,high,decrease,47.414,36.755880000000005,#000000,69.936,33.18012,#ffffff,36.755880000000005,lumi
1,21,false,36.755880000000005,high,increase,38.267,36.755880000000005,#000000,19.345200000000002,40.479831,#ffffff,21.134631,lumi
1,22,false,19.345200000000002,same,increase,27.31,19.345200000000002,#000000,10.1802,15.500129999999999,#000000,5.319930000000002,lumi
1,23,false,19.345200000000002,same,decrease,43.813,19.345200000000002,#000000,36.755880000000005,18.86157,#000000,17.89431,lumi
1,24,false,5.358,small,decrease,25.912,5.358,#000000,10.1802,4.152449999999999,#4e4e4e,6.027750000000001,lumi
1,25,false,5.358,small,increase,55.189,5.358,#000000,1.5510000000000002,6.3732,#4e4e4e,4.822199999999999,lumi
1,26,false,5.358,same,increase,36.041,5.358,#000000,1.5510000000000002,4.36395,#000000,2.8129500000000003,lumi
1,27,false,5.358,same,decrease,29.008,5.358,#000000,10.1802,6.295649999999999,#000000,3.8845500000000004,lumi
1,28,false,36.755880000000005,medium,decrease,38.453,36.755880000000005,#000000,69.936,35.936811,#a2a2a2,33.99918900000001,lumi
1,29,false,36.755880000000005,medium,increase,28.104,36.755880000000005,#000000,19.345200000000002,45.07431600000001,#a2a2a2,25.72911600000001,lumi
1,30,false,19.345200000000002,small,increase,48.044,19.345200000000002,#000000,10.1802,23.238210000000002,#4e4e4e,13.058010000000003,lumi
1,31,false,19.345200000000002,small,decrease,62.637,19.345200000000002,#000000,36.755880000000005,25.148759999999996,#4e4e4e,11.607120000000004,lumi
1,32,false,36.755880000000005,high,decrease,35.094,36.755880000000005,#000000,69.936,38.693501999999995,#ffffff,31.242498,lumi
1,33,false,36.755880000000005,high,increase,27.492,36.755880000000005,#000000,19.345200000000002,41.398728,#ffffff,22.053528000000007,lumi
1,34,false,5.358,medium,increase,30.653,5.358,#000000,1.5510000000000002,5.167650000000001,#a2a2a2,3.6166500000000004,lumi
1,35,false,5.358,medium,decrease,46.282,5.358,#000000,10.1802,5.358,#a2a2a2,4.8222,lumi
1,36,false,5.358,high,decrease,37.917,5.358,#000000,10.1802,6.429600000000001,#ffffff,3.7506,lumi
1,37,false,5.358,high,increase,41.922,5.358,#000000,1.5510000000000002,5.569500000000001,#ffffff,4.0185,lumi
1,38,false,5.358,same,increase,26.907,5.358,#000000,1.5510000000000002,6.50715,#000000,4.95615,lumi
1,39,false,5.358,same,decrease,35.365,5.358,#000000,10.1802,4.68825,#000000,5.49195,lumi
1,40,false,36.755880000000005,small,decrease,29.367,36.755880000000005,#000000,69.936,35.017914000000005,#4e4e4e,34.918086,lumi
1,41,false,36.755880000000005,small,increase,26.462,36.755880000000005,#000000,19.345200000000002,32.209758,#4e4e4e,12.864557999999999,lumi
1,42,false,5.358,medium,increase,18.566,5.358,#000000,1.5510000000000002,5.971350000000001,#a2a2a2,4.420350000000001,lumi
1,43,false,5.358,medium,decrease,30.9,5.358,#000000,10.1802,6.83145,#a2a2a2,3.34875,lumi
1,44,false,19.345200000000002,medium,decrease,23.102,19.345200000000002,#000000,36.755880000000005,22.730610000000002,#a2a2a2,14.025269999999999,lumi
1,45,false,19.345200000000002,medium,increase,22.266,19.345200000000002,#000000,10.1802,17.918280000000003,#a2a2a2,7.738080000000001,lumi
1,46,false,19.345200000000002,medium,increase,15.409,19.345200000000002,#000000,10.1802,20.33643,#a2a2a2,10.15623,lumi
1,47,false,19.345200000000002,medium,decrease,48.153,19.345200000000002,#000000,36.755880000000005,18.86157,#a2a2a2,17.89431,lumi
1,48,false,36.755880000000005,same,decrease,23.407,36.755880000000005,#000000,69.936,36.855708,#000000,33.080292,lumi
1,49,false,36.755880000000005,same,increase,53.914,36.755880000000005,#000000,19.345200000000002,30.371964000000002,#000000,11.026764000000004,lumi
1,50,false,19.345200000000002,same,increase,49.8,19.345200000000002,#000000,10.1802,22.270950000000003,#000000,12.090750000000005,lumi
1,51,false,19.345200000000002,same,decrease,38.585,19.345200000000002,#000000,36.755880000000005,16.44342,#000000,20.31246,lumi
