"participant";"trial";"practice";"speed";"delta_luminance";"action";"completion_time";"edgeA_speed";"edgeA_color";"edgeB_original_speed";"edgeB_speed";"edgeB_color";"delta_speed"
"1";"0";"true";"5.358";"11";"increase";"31.179";"5.358";"#000000";"1.5510000000000002";"5.569500000000005";"#000000";"0.21150000000000488"
"1";"1";"true";"19.345200000000002";"40";"decrease";"14.093";"19.345200000000002";"#000000";"36.755880000000005";"22.246980000000004";"#000000";"2.9017800000000022"
"1";"2";"true";"36.755880000000005";"70";"decrease";"35.254";"36.755880000000005";"#000000";"69.936";"30.423429000000034";"#000000";"-6.332450999999969"
"1";"3";"true";"19.345200000000002";"0";"increase";"22.183";"19.345200000000002";"#000000";"10.1802";"19.852800000000002";"#000000";"0.5075999999999992"
"1";"4";"false";"36.755880000000005";"40";"decrease";"25.047";"36.755880000000005";"#000000";"69.936";"36.85570800000005";"#000000";"0.09982800000004786"
"1";"5";"false";"36.755880000000005";"40";"increase";"20.233";"36.755880000000005";"#000000";"19.345200000000002";"30.37196400000002";"#000000";"-6.38391599999998"
"1";"6";"false";"36.755880000000005";"0";"increase";"27.618";"36.755880000000005";"#000000";"19.345200000000002";"34.96644900000003";"#000000";"-1.7894309999999671"
"1";"7";"false";"36.755880000000005";"0";"decrease";"31.853";"36.755880000000005";"#000000";"69.936";"51.55806000000006";"#000000";"14.802180000000051"
"1";"8";"false";"19.345200000000002";"70";"decrease";"27.952";"19.345200000000002";"#000000";"36.755880000000005";"20.796090000000003";"#000000";"1.4508900000000022"
"1";"9";"false";"19.345200000000002";"70";"increase";"15.298";"19.345200000000002";"#000000";"10.1802";"20.82006";"#000000";"1.474859999999999"
"1";"10";"false";"5.358";"70";"increase";"12.997";"5.358";"#000000";"1.5510000000000002";"5.435550000000005";"#000000";"0.07755000000000523"
"1";"11";"false";"5.358";"70";"decrease";"26.329";"5.358";"#000000";"10.1802";"6.697500000000008";"#000000";"1.339500000000009"
"1";"12";"false";"19.345200000000002";"11";"decrease";"29.904";"19.345200000000002";"#000000";"36.755880000000005";"18.861570000000004";"#000000";"-0.48362999999999745"
"1";"13";"false";"19.345200000000002";"11";"increase";"14.134";"19.345200000000002";"#000000";"10.1802";"18.885540000000002";"#000000";"-0.45966000000000073"
