participant,trial,practice,speed,delta_var,action,completion_time,edgeA_speed,edgeA_var,edgeB_original_speed,edgeB_speed,edgeB_var,delta_speed,visual_variable
3,0,true,5.358,small,increase,26.329,5.358,12,1.5510000000000002,4.36395,21,2.8129500000000003,width
3,1,true,19.345200000000002,medium,decrease,26.515,19.345200000000002,12,36.755880000000005,23.21424,36.75,13.541640000000005,width
3,2,true,36.755880000000005,high,decrease,43.977,36.755880000000005,12,69.936,51.558060000000005,55.125,18.37794,width
3,3,true,19.345200000000002,same,increase,17.706,19.345200000000002,12,10.1802,21.303689999999996,12,11.123490000000002,width
3,4,false,19.345200000000002,medium,decrease,17.984,19.345200000000002,12,36.755880000000005,20.31246,36.75,16.44342,width
3,5,false,19.345200000000002,medium,increase,25.095,19.345200000000002,12,10.1802,21.303689999999996,36.75,11.123490000000002,width
3,6,false,19.345200000000002,medium,increase,22.038,19.345200000000002,12,10.1802,21.303689999999996,36.75,11.123490000000002,width
3,7,false,19.345200000000002,medium,decrease,21.814,19.345200000000002,12,36.755880000000005,24.181499999999996,36.75,12.574380000000003,width
3,8,false,36.755880000000005,same,decrease,29.449,36.755880000000005,12,69.936,36.855708,12,33.080292,width
3,9,false,36.755880000000005,same,increase,21.761,36.755880000000005,12,19.345200000000002,34.966449000000004,12,15.621249000000002,width
3,10,false,19.345200000000002,same,increase,14.755,19.345200000000002,12,10.1802,16.46739,12,6.287190000000002,width
3,11,false,19.345200000000002,same,decrease,12.427,19.345200000000002,12,36.755880000000005,17.89431,12,18.86157,width
3,12,false,36.755880000000005,medium,decrease,29.743,36.755880000000005,12,69.936,46.044678000000005,36.75,23.891322000000006,width
3,13,false,36.755880000000005,medium,increase,30.619,36.755880000000005,12,19.345200000000002,43.23652200000001,36.75,23.891322000000006,width
3,14,false,36.755880000000005,same,increase,14.43,36.755880000000005,12,19.345200000000002,40.479831,12,21.134631,width
3,15,false,36.755880000000005,same,decrease,17.977,36.755880000000005,12,69.936,35.017914000000005,12,34.918086,width
3,16,false,19.345200000000002,high,decrease,18.797,19.345200000000002,12,36.755880000000005,30.468689999999995,55.125,6.287189999999999,width
3,17,false,19.345200000000002,high,increase,33.256,19.345200000000002,12,10.1802,20.33643,55.125,10.15623,width
3,18,false,5.358,high,increase,20.461,5.358,12,1.5510000000000002,7.712700000000002,55.125,6.1617000000000015,width
3,19,false,5.358,high,decrease,14.968,5.358,12,10.1802,6.429600000000001,55.125,3.7506,width
3,20,false,19.345200000000002,small,decrease,25.34,19.345200000000002,12,36.755880000000005,15.95979,21,20.79609,width
3,21,false,19.345200000000002,small,increase,27.263,19.345200000000002,12,10.1802,19.852800000000002,21,9.672600000000001,width
3,22,false,19.345200000000002,high,increase,21.561,19.345200000000002,12,10.1802,19.852800000000002,55.125,9.672600000000001,width
3,23,false,19.345200000000002,high,decrease,24.24,19.345200000000002,12,36.755880000000005,26.59965,55.125,10.156229999999999,width
3,24,false,36.755880000000005,small,decrease,15.789,36.755880000000005,12,69.936,53.395854,21,16.540146000000004,width
3,25,false,36.755880000000005,small,increase,25.563,36.755880000000005,12,19.345200000000002,46.912110000000006,21,27.566910000000004,width
3,26,false,5.358,small,increase,22.887,5.358,12,1.5510000000000002,6.77505,21,5.22405,width
3,27,false,5.358,small,decrease,18.127,5.358,12,10.1802,6.161699999999999,21,4.0185,width
3,28,false,36.755880000000005,high,decrease,20.529,36.755880000000005,12,69.936,48.801369,55.125,21.134631,width
3,29,false,36.755880000000005,high,increase,16.609,36.755880000000005,12,19.345200000000002,35.885346,55.125,16.540146,width
3,30,false,19.345200000000002,same,increase,19.261,19.345200000000002,12,10.1802,17.918280000000003,12,7.738080000000001,width
3,31,false,19.345200000000002,same,decrease,15.067,19.345200000000002,12,36.755880000000005,20.31246,12,16.44342,width
3,32,false,5.358,small,decrease,23.381,5.358,12,10.1802,8.974649999999999,21,1.2055499999999995,width
3,33,false,5.358,small,increase,19.822,5.358,12,1.5510000000000002,4.7658000000000005,21,3.2148000000000003,width
3,34,false,5.358,same,increase,18.675,5.358,12,1.5510000000000002,4.4979000000000005,12,2.9469,width
3,35,false,5.358,same,decrease,22.773,5.358,12,10.1802,3.34875,12,6.83145,width
3,36,false,36.755880000000005,medium,decrease,18.846,36.755880000000005,12,69.936,41.450193,36.75,28.485807,width
3,37,false,36.755880000000005,medium,increase,35.2,36.755880000000005,12,19.345200000000002,44.155419,36.75,24.810219000000004,width
3,38,false,19.345200000000002,small,increase,18.655,19.345200000000002,12,10.1802,16.95102,21,6.770820000000001,width
3,39,false,19.345200000000002,small,decrease,27.919,19.345200000000002,12,36.755880000000005,21.76335,21,14.992530000000002,width
3,40,false,36.755880000000005,high,decrease,24.184,36.755880000000005,12,69.936,52.476957,55.125,17.459043,width
3,41,false,36.755880000000005,high,increase,31.603,36.755880000000005,12,19.345200000000002,25.777479,55.125,6.432278999999999,width
3,42,false,5.358,medium,increase,18.049,5.358,12,1.5510000000000002,6.1053,36.75,4.5543,width
3,43,false,5.358,medium,decrease,22.182,5.358,12,10.1802,4.2864,36.75,5.8938,width
3,44,false,5.358,high,decrease,22.006,5.358,12,10.1802,4.956149999999999,55.125,5.22405,width
3,45,false,5.358,high,increase,15.59,5.358,12,1.5510000000000002,4.23,55.125,2.679,width
3,46,false,5.358,same,increase,18.025,5.358,12,1.5510000000000002,4.36395,12,2.8129500000000003,width
3,47,false,5.358,same,decrease,15.666,5.358,12,10.1802,7.635150000000001,12,2.54505,width
3,48,false,36.755880000000005,small,decrease,22.479,36.755880000000005,12,69.936,44.206884,21,25.729115999999998,width
3,49,false,36.755880000000005,small,increase,19.403,36.755880000000005,12,19.345200000000002,36.804243,21,17.459042999999998,width
3,50,false,5.358,medium,increase,18.532,5.358,12,1.5510000000000002,3.6942000000000004,36.75,2.1432,width
3,51,false,5.358,medium,decrease,25.188,5.358,12,10.1802,6.9654,36.75,3.2148000000000003,width
