Participant,Practice,Block,Trial,Speed,Luminance,Action
0,true,0,0,1.9,11,increase
0,true,1,1,6.86,40,decrease
0,true,2,2,13.034,70,decrease
0,true,3,3,6.86,0,increase
0,false,1,4,1.9,70,decrease
0,false,1,5,1.9,70,increase
0,false,2,6,6.86,11,increase
0,false,2,7,6.86,11,decrease
0,false,3,8,6.86,70,decrease
0,false,3,9,6.86,70,increase
0,false,4,10,13.034,11,increase
0,false,4,11,13.034,11,decrease
0,false,5,12,1.9,11,decrease
0,false,5,13,1.9,11,increase
0,false,6,14,13.034,70,increase
0,false,6,15,13.034,70,decrease
0,false,7,16,6.86,0,decrease
0,false,7,17,6.86,0,increase
0,false,8,18,1.9,11,increase
0,false,8,19,1.9,11,decrease
0,false,9,20,1.9,0,decrease
0,false,9,21,1.9,0,increase
0,false,10,22,13.034,40,increase
0,false,10,23,13.034,40,decrease
0,false,11,24,6.86,11,decrease
0,false,11,25,6.86,11,increase
0,false,12,26,13.034,70,increase
0,false,12,27,13.034,70,decrease
0,false,13,28,1.9,40,decrease
0,false,13,29,1.9,40,increase
0,false,14,30,1.9,70,increase
0,false,14,31,1.9,70,decrease
0,false,15,32,1.9,0,decrease
0,false,15,33,1.9,0,increase
0,false,16,34,13.034,11,increase
0,false,16,35,13.034,11,decrease
0,false,17,36,1.9,40,decrease
0,false,17,37,1.9,40,increase
0,false,18,38,6.86,40,increase
0,false,18,39,6.86,40,decrease
0,false,19,40,6.86,40,decrease
0,false,19,41,6.86,40,increase
0,false,20,42,13.034,0,increase
0,false,20,43,13.034,0,decrease
0,false,21,44,6.86,0,decrease
0,false,21,45,6.86,0,increase
0,false,22,46,13.034,40,increase
0,false,22,47,13.034,40,decrease
0,false,23,48,13.034,0,decrease
0,false,23,49,13.034,0,increase
0,false,24,50,6.86,70,increase
0,false,24,51,6.86,70,decrease
1,true,0,0,1.9,11,increase
1,true,1,1,6.86,40,decrease
1,true,2,2,13.034,70,decrease
1,true,3,3,6.86,0,increase
1,false,1,4,13.034,40,decrease
1,false,1,5,13.034,40,increase
1,false,2,6,13.034,0,increase
1,false,2,7,13.034,0,decrease
1,false,3,8,6.86,70,decrease
1,false,3,9,6.86,70,increase
1,false,4,10,1.9,70,increase
1,false,4,11,1.9,70,decrease
1,false,5,12,6.86,11,decrease
1,false,5,13,6.86,11,increase
1,false,6,14,6.86,70,increase
1,false,6,15,6.86,70,decrease
1,false,7,16,13.034,11,decrease
1,false,7,17,13.034,11,increase
1,false,8,18,1.9,11,increase
1,false,8,19,1.9,11,decrease
1,false,9,20,13.034,70,decrease
1,false,9,21,13.034,70,increase
1,false,10,22,6.86,0,increase
1,false,10,23,6.86,0,decrease
1,false,11,24,1.9,11,decrease
