Participant,Practice,Block,Trial,Speed,Luminance,Action
0,true,0,0,1,11,increase
0,true,1,1,3.61,40,decrease
0,true,2,2,13.034,70,decrease
0,true,3,3,3.61,0,increase
0,false,1,4,1,70,decrease
0,false,1,5,1,70,increase
0,false,2,6,3.61,11,increase
0,false,2,7,3.61,11,decrease
0,false,3,8,3.61,70,decrease
0,false,3,9,3.61,70,increase
0,false,4,10,13.034,11,increase
0,false,4,11,13.034,11,decrease
0,false,5,12,1,11,decrease
0,false,5,13,1,11,increase
0,false,6,14,13.034,70,increase
0,false,6,15,13.034,70,decrease
0,false,7,16,3.61,0,decrease
0,false,7,17,3.61,0,increase
0,false,8,18,1,11,increase
0,false,8,19,1,11,decrease
0,false,9,20,1,0,decrease
0,false,9,21,1,0,increase
0,false,10,22,13.034,40,increase
0,false,10,23,13.034,40,decrease
0,false,11,24,3.61,11,decrease
0,false,11,25,3.61,11,increase
0,false,12,26,13.034,70,increase
0,false,12,27,13.034,70,decrease
0,false,13,28,1,40,decrease
0,false,13,29,1,40,increase
0,false,14,30,1,70,increase
0,false,14,31,1,70,decrease
0,false,15,32,1,0,decrease
0,false,15,33,1,0,increase
0,false,16,34,13.034,11,increase
0,false,16,35,13.034,11,decrease
0,false,17,36,1,40,decrease
0,false,17,37,1,40,increase
0,false,18,38,3.61,40,increase
0,false,18,39,3.61,40,decrease
0,false,19,40,3.61,40,decrease
0,false,19,41,3.61,40,increase
0,false,20,42,13.034,0,increase
0,false,20,43,13.034,0,decrease
0,false,21,44,3.61,0,decrease
0,false,21,45,3.61,0,increase
0,false,22,46,13.034,40,increase
0,false,22,47,13.034,40,decrease
0,false,23,48,13.034,0,decrease
0,false,23,49,13.034,0,increase
0,false,24,50,3.61,70,increase
0,false,24,51,3.61,70,decrease
1,true,0,0,1,11,increase
1,true,1,1,3.61,40,decrease
1,true,2,2,13.034,70,decrease
1,true,3,3,3.61,0,increase
1,false,1,4,13.034,40,decrease
1,false,1,5,13.034,40,increase
1,false,2,6,13.034,0,increase
1,false,2,7,13.034,0,decrease
1,false,3,8,3.61,70,decrease
1,false,3,9,3.61,70,increase
1,false,4,10,1,70,increase
1,false,4,11,1,70,decrease
1,false,5,12,3.61,11,decrease
1,false,5,13,3.61,11,increase
1,false,6,14,3.61,70,increase
1,false,6,15,3.61,70,decrease
1,false,7,16,13.034,11,decrease
1,false,7,17,13.034,11,increase
1,false,8,18,1,11,increase
1,false,8,19,1,11,decrease
1,false,9,20,13.034,70,decrease
1,false,9,21,13.034,70,increase
1,false,10,22,3.61,0,increase
1,false,10,23,3.61,0,decrease
1,false,11,24,1,11,decrease
1,false,11,25,1,11,increase
1,false,12,26,1,0,increase
1,false,12,27,1,0,decrease
1,false,13,28,13.034,40,decrease
1,false,13,29,13.034,40,increase
1,false,14,30,3.61,11,increase
1,false,14,31,3.61,11,decrease
1,false,15,32,13.034,70,decrease
1,false,15,33,13.034,70,increase
1,false,16,34,1,40,increase
1,false,16,35,1,40,decrease
1,false,17,36,1,70,decrease
1,false,17,37,1,70,increase
1,false,18,38,1,0,increase
1,false,18,39,1,0,decrease
1,false,19,40,13.034,11,decrease
1,false,19,41,13.034,11,increase
1,false,20,42,1,40,increase
1,false,20,43,1,40,decrease
1,false,21,44,3.61,40,decrease
1,false,21,45,3.61,40,increase
1,false,22,46,3.61,40,increase
1,false,22,47,3.61,40,decrease
1,false,23,48,13.034,0,decrease
1,false,23,49,13.034,0,increase
1,false,24,50,3.61,0,increase
1,false,24,51,3.61,0,decrease
2,true,0,0,1,11,increase
2,true,1,1,3.61,40,decrease
