Participant,Practice,Block,Trial,GroupCount,GraphSize
0,true,0,0,Medium,Low
0,true,0,1,Large,Low
0,true,0,2,Small,Low
0,false,1,0,Large,Medium
0,false,1,1,Medium,Medium
0,false,1,2,Medium,Low
0,false,1,3,Large,Low
0,false,1,4,Large,Medium
0,false,1,5,Large,Low
0,false,1,6,Small,Low
0,false,1,7,Small,High
0,false,1,8,Small,Low
0,false,1,9,Small,Medium
0,false,1,10,Small,High
0,false,1,11,Medium,Low
0,false,1,12,Large,High
0,false,1,13,Medium,Medium
0,false,1,14,Small,Medium
0,false,1,15,Medium,High
0,false,1,16,Large,High
0,false,1,17,Medium,High
1,true,0,0,Large,Low
1,true,0,1,Small,Low
1,true,0,2,Medium,Low
1,false,1,0,Large,Medium
1,false,1,1,Large,High
1,false,1,2,Medium,Medium
1,false,1,3,Small,Medium
1,false,1,4,Small,Medium
1,false,1,5,Large,High
1,false,1,6,Small,Low
1,false,1,7,Small,High
1,false,1,8,Large,Low
1,false,1,9,Large,Low
1,false,1,10,Medium,Low
1,false,1,11,Medium,High
1,false,1,12,Medium,Medium
1,false,1,13,Small,High
1,false,1,14,Medium,Low
1,false,1,15,Small,Low
1,false,1,16,Large,Medium
1,false,1,17,Medium,High
2,true,0,0,Small,Low
2,true,0,1,Large,Low
2,true,0,2,Medium,Low
2,false,1,0,Medium,Low
2,false,1,1,Large,Low
2,false,1,2,Small,High
2,false,1,3,Small,Low
2,false,1,4,Small,Medium
2,false,1,5,Small,Low
2,false,1,6,Large,High
2,false,1,7,Medium,High
2,false,1,8,Small,High
2,false,1,9,Medium,Low
2,false,1,10,Large,High
2,false,1,11,Medium,Medium
2,false,1,12,Small,Medium
2,false,1,13,Large,Low
2,false,1,14,Medium,High
2,false,1,15,Medium,Medium
2,false,1,16,Large,Medium
2,false,1,17,Large,Medium
3,true,0,0,Medium,Low
3,true,0,1,Small,Low
3,true,0,2,Large,Low
3,false,1,0,Large,High
3,false,1,1,Medium,Medium
3,false,1,2,Large,High
3,false,1,3,Large,Medium
3,false,1,4,Medium,Low
3,false,1,5,Small,Medium
3,false,1,6,Medium,High
3,false,1,7,Large,Low
